Year,Survey Country,NPFMC Sablefish Mgmt Area ID,NPFMC Sablefish Management Area,Species Code,Common Name,CPUE,RPN,RPW
1983,Japan,2,Bering Sea,20510,"""Sablefish""",5.4,137000,284000
1983,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",10.8,98000,272000
1981,Japan,1,Aleutians,20510,"""Sablefish""",6.3,66000,192000
1979,Japan,1,Aleutians,20510,"""Sablefish""",2.25,110000,185000
2017,United States,1,Aleutians,20510,"""Sablefish""",2.66422895907119,122441.408898477,287270.817193548
2017,United States,2,Bering Sea,20510,"""Sablefish""",3.9807671365949,105857.228535467,183598.742452334
2017,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",8.4601415756614,149812.807510605,428234.115096829
2017,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",7.34937385673497,68196.3948777883,197468.596560608
2017,United States,6,West Yakutat,20510,"""Sablefish""",7.4646572904273,43160.6484532507,156425.065057503
2017,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",7.54966301589597,69056.7676064004,147063.022815406
2015,United States,1,Aleutians,20510,"""Sablefish""",1.13804398078523,56800.5651998945,162873.019736995
2015,United States,2,Bering Sea,20510,"""Sablefish""",1.98784790031602,51594.6111949454,147167.894328366
2015,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",6.78255389617297,119851.09741727,366989.440526902
2015,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",6.93352674761705,67851.041936591,227709.928024813
2015,United States,6,West Yakutat,20510,"""Sablefish""",7.2275236463743,41789.5417233362,164044.177250843
2015,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",4.3670543433074,39945.4460782328,100325.876721025
2013,United States,1,Aleutians,20510,"""Sablefish""",1.33005646818793,62458.0992573325,161427.413906195
2013,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",6.62146492059936,117191.048175711,386243.546978624
2003,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",9.6091767305921,169029.285419598,605416.670059097
2003,United States,6,West Yakutat,20510,"""Sablefish""",7.39059422753573,42732.4158236116,146630.823232876
2000,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",7.97303920290441,81224.2685305456,303715.758251248
1997,United States,6,West Yakutat,20510,"""Sablefish""",9.36544404279167,54150.9974554215,216415.434798664
1996,United States,6,West Yakutat,20510,"""Sablefish""",9.50114394042678,54935.6142635477,248847.174454556
1996,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",6.85891792861067,62738.5222930018,213126.052934533
1994,United States,6,West Yakutat,20510,"""Sablefish""",11.0035530370387,63622.543660158,275281.000669498
1994,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",6.41717212108012,58697.8733915199,176820.066435503
1992,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",4.5,40000,124000
1991,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",14.0144891679264,143244.909177181,532241.87956451
1987,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",10.8,191000,611000
1987,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",9.45,88000,279000
1986,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",11.25,197000,598000
1986,Japan,6,West Yakutat,20510,"""Sablefish""",13.05,76000,233000
1985,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",11.7,208000,655000
1985,Japan,6,West Yakutat,20510,"""Sablefish""",10.35,60000,193000
1984,Japan,1,Aleutians,20510,"""Sablefish""",3.6,162000,434000
1984,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",9.45,167000,436000
1984,Japan,6,West Yakutat,20510,"""Sablefish""",7.65,44000,130000
1984,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",10.35,94000,272000
1983,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",8.55,148000,383000
1983,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",5.85,61000,184000
1983,Japan,6,West Yakutat,20510,"""Sablefish""",7.2,41000,114000
